term;lda_vector
mail;0.36893,0.59,1.24,0.36,-0.51,-0.60,-1.17,-0.04,1.07,-0.80,-1.01,1.08,0.26,-0.65,0.72,-0.54,-1.64,-0.65,0.44,-0.60,0.97,-0.30,0.78,1.21,0.51,-1.93,0.13,-0.36,0.60,-0.60,2.12,-0.18,-0.08,-0.44,-0.69,-0.02,0.05,-0.06,0.07,0.25,2.01,0.68,-0.01,0.86,0.35,0.20,-0.05,0.12,0.59,0.65
crime;0.32494,-0.68,-0.47,-0.27,0.54,0.51,0.64,-0.88,0.37,0.06,-0.63,0.02,-0.97,-0.01,1.10,-1.15,0.13,-0.16,0.03,0.25,0.36,-0.06,-0.02,0.80,-0.95,-2.19,-0.70,-0.10,0.52,-0.11,2.36,-0.11,0.08,-1.94,-0.41,0.44,-0.63,-1.07,-0.25,-0.28,-1.12,0.77,0.87,-0.06,0.17,-0.39,-0.06,1.3368e-03,1.05,0.34
moscow;0.36366,1.49,0.25,-0.37,-0.37,-0.83,0.52,1.38,-1.36,-0.16,0.28,-1.14,-0.49,0.78,0.09,0.40,-0.26,0.36,-0.20,0.82,1.15,-0.02,-0.57,0.11,-0.53,-2.25,0.22,0.71,-0.05,-0.02,2.04,0.30,-0.24,-0.91,-0.98,-0.33,0.06,0.68,-0.17,0.65,0.27,-0.16,1.09,-1.20,0.06,0.17,-0.62,0.96,-0.56,-0.45
stadium;0.13734,0.91,-0.09,1.35,-0.23,-1.92,-0.72,0.24,-0.85,0.16,-0.23,-0.70,-0.61,-1.12,0.64,0.80,0.61,1.25,-1.72,-0.43,-0.33,-0.24,-1.20,-0.79,-0.38,-0.60,0.89,0.88,-0.33,-0.78,2.08,0.86,-0.01,-0.35,-0.24,0.51,1.66,0.34,0.08,-0.14,-0.29,-0.25,-1.31,0.45,-0.18,0.96,-1.24,-0.57,-0.41,-0.29
singapore;0.18102,-0.02,-0.20,1.26,0.39,-0.99,0.13,-0.72,0.42,0.07,0.75,0.22,0.20,0.12,0.19,0.64,-0.63,0.18,-0.65,0.84,1.48,0.47,-0.15,-0.33,0.08,-1.20,1.07,-0.43,-1.17,0.39,2.66,0.74,0.86,0.60,0.07,-0.86,-0.12,-0.15,-0.54,-0.35,-0.68,-0.11,1.23,-0.28,0.39,-0.18,-0.59,-0.12,1.13,-0.43
leadership;-0.060184,0.19,0.04,-0.33,0.68,-0.09,0.30,0.18,-0.74,-0.53,-0.11,-9.5475e-03,-1.02,0.18,-0.93,-0.01,0.38,0.20,0.71,-0.01,-0.47,0.38,-0.03,-0.53,-0.14,-1.75,-0.46,-0.79,-0.65,1.18,2.82,0.47,-1.15,-1.20,-0.50,-0.11,-0.57,0.07,-0.52,-0.45,-0.63,-0.37,-1.16,0.14,-0.14,8.1431e-03,-0.71,0.59,-0.46,0.13
emergency; 1.1373,-0.44,0.40,-0.52,-0.78,-0.34,-0.15,0.41,1.05,-0.97,-0.10,-0.05,1.01,0.55,0.07,0.20,-0.95,-0.24,0.27,-0.18,0.52,0.44,-0.47,-0.87,-0.08,-1.31,0.90,-0.01,-0.14,0.35,3.20,0.67,-1.07,-0.47,0.08,1.10,1.40,-0.86,0.88,0.16,-0.56,0.71,0.30,-0.29,-0.20,0.55,-0.24,0.76,0.22,0.39
cabinet;0.18309,-0.02,0.08,-0.12,0.89,0.22,-0.10,0.15,-1.37,-1.44,-0.64,0.16,-0.23,1.51,0.09,0.55,-0.29,-0.59,1.22,-0.26,0.88,-0.14,0.28,-0.69,-0.54,-1.11,0.30,-0.03,-1.29,1.24,2.66,0.03,-1.31,-0.02,0.17,0.43,0.66,-0.06,-0.14,-0.44,-0.95,0.41,-0.99,-0.61,-0.14,0.24,-1.06,0.84,0.81,-0.25
tokyo;-0.31168,0.19,0.19,0.68,0.29,-0.89,0.22,0.17,-1.47,-0.09,0.08,-0.94,-0.19,0.58,0.20,0.99,-1.03,0.42,-1.14,0.71,2.15,-0.14,-0.92,-0.28,-0.01,-1.67,0.44,0.54,-0.71,-0.67,2.33,0.28,1.40,-7.8203e-03,-0.15,-1.11,0.24,-0.65,-0.04,0.04,-1.13,-0.44,0.91,-0.74,1.05,0.05,0.13,0.62,0.61,-0.09
appointed;-0.17526,0.10,-0.89,-0.61,0.82,-0.50,-0.46,0.40,-0.87,-1.77,0.53,1.21,-0.26,-0.04,-0.08,0.18,-0.55,0.18,0.16,0.48,0.57,-0.11,0.10,-0.30,-0.91,-1.82,0.49,-0.97,-1.81,1.14,1.85,-0.62,-1.03,-1.21,0.53,0.25,0.44,0.85,0.29,-0.14,-0.28,0.56,-0.64,-0.39,-1.06,0.16,-1.25,-0.36,0.22,0.35
christian;-0.014143,0.22,-0.76,-1.36,1.35,0.84,-1.27,-0.95,-0.55,0.08,0.61,-0.71,-0.69,-0.39,-0.28,-0.59,0.35,-0.95,0.02,0.63,-0.94,0.55,-0.75,1.17,-0.27,-1.04,-0.62,-1.13,-0.96,-0.03,2.27,0.17,-0.36,-0.37,-0.80,-0.47,-0.35,-0.28,5.0011e-03,1.07,0.80,0.23,-0.67,-0.06,0.14,0.90,-0.70,-0.21,-0.63,-0.59
guard;-0.77277,-0.05,0.77,-0.08,1.28,-0.73,-0.90,0.60,-0.01,-1.50,0.35,0.28,-0.37,0.28,-0.35,-0.26,-0.03,-0.30,-1.09,-0.29,-0.86,0.15,-0.40,-0.87,-0.64,-1.67,0.82,-0.19,0.78,-0.84,1.99,0.24,-0.12,-1.11,0.73,1.06,0.27,-0.80,0.01,0.58,-0.39,0.58,0.57,-0.45,0.28,-0.70,-0.09,-0.14,-0.54,0.35
assembly;-0.42993,-0.53,-0.18,0.17,0.33,0.23,0.22,0.06,0.06,-1.01,-0.03,-0.94,0.22,0.61,-0.54,0.13,-0.34,0.37,0.55,-0.90,0.84,-0.55,-0.08,0.04,-0.22,-1.39,0.01,-0.42,-1.33,0.50,2.53,-0.15,-1.98,-0.20,0.35,-0.96,1.03,0.44,-0.29,0.79,-0.90,0.07,-0.79,-0.59,-1.25,1.52,-0.86,-0.24,-0.01,-0.02
supreme;-0.97842,-0.65,-0.70,0.46,1.16,-0.12,1.00,0.79,0.23,-0.02,-0.36,-0.17,0.01,0.35,0.20,0.12,-0.69,-0.88,0.04,-0.10,0.20,-0.01,-0.02,-0.36,-0.57,-2.87,-0.30,-0.58,-1.01,0.19,1.89,-1.31,-1.33,-0.98,0.14,-1.25,0.72,-0.29,-0.27,-0.17,-0.85,0.54,-0.18,0.71,-0.98,1.24,-0.89,-0.35,-0.25,-0.13
greater;0.10768,0.91,-0.12,-0.37,0.31,0.09,0.81,-0.02,0.78,0.51,0.49,-0.30,0.39,-1.29,-0.90,0.49,0.74,0.05,-0.22,-0.33,0.02,-0.38,-0.48,-0.26,-0.21,-1.43,-0.18,-0.17,0.30,0.19,3.23,1.33,0.21,-1.29,-0.07,-0.76,-0.51,-0.45,-0.03,0.13,-0.39,0.07,0.14,-0.14,-0.80,0.29,-0.12,0.48,-0.30,0.11
port; 1.2905,0.40,-0.37,0.74,-0.58,-1.04,-0.98,0.38,0.25,-0.50,0.23,0.49,0.75,-0.86,-0.67,0.14,-0.12,0.70,-1.28,0.34,0.86,-0.06,-0.90,0.34,-0.11,-1.67,1.40,0.61,0.66,-0.14,2.32,-0.04,-0.23,-0.03,1.13,0.29,-0.11,-0.27,-0.05,1.09,0.55,0.85,0.96,-1.00,-0.79,0.59,-0.37,-0.21,0.80,-0.68
primary;0.039105,0.70,0.41,0.16,0.08,1.10,-0.46,-0.20,0.39,-0.32,-0.43,-0.63,0.56,-0.24,-1.02,-0.11,0.06,0.19,-0.06,-0.06,0.01,-0.75,0.07,0.36,-0.22,-1.12,0.24,-0.51,-0.04,0.57,2.95,0.15,-0.19,-1.38,0.73,0.07,0.04,0.65,-0.04,-0.46,-0.37,-0.38,-0.96,0.34,-0.23,0.19,-0.25,1.5086e-03,0.68,0.68
festival;0.17065,1.26,-2.12,0.14,-0.33,-0.84,-0.83,-0.20,0.60,1.18,-0.01,-0.97,0.71,0.29,0.84,-0.29,0.71,0.20,-1.72,0.09,1.76,-0.43,-0.15,0.98,-0.18,-0.30,-1.28,-0.06,-1.06,-0.83,2.33,0.89,-0.43,-0.26,-0.45,-0.40,0.58,-0.01,-0.34,0.08,-0.33,0.14,-1.25,-1.27,0.29,0.65,0.27,-1.08,-0.36,0.01
insurance;0.15858,-0.01,0.40,0.07,-0.37,1.10,-0.94,-0.16,0.71,-0.59,0.05,0.53,0.36,-0.28,0.18,-3.3091e-03,-0.21,-0.22,0.58,-0.39,0.95,-0.55,-1.29,-0.44,-0.88,-1.54,-0.36,-0.86,-0.01,0.04,2.71,0.56,0.66,0.32,-0.20,-0.49,-0.13,-0.44,1.56,-0.96,-0.41,-0.52,1.15,1.15,-0.37,-0.62,-0.84,0.83,0.68,1.11
centre;0.20838,0.80,-0.77,0.25,-0.28,-0.46,-0.63,-0.59,0.74,-0.77,0.41,-0.82,-0.46,-0.12,-1.01,0.49,0.88,0.21,-0.83,0.62,0.47,0.55,-1.31,0.71,-0.41,-0.60,0.67,-0.20,-1.01,0.38,2.93,0.19,0.19,-1.08,-0.48,0.64,0.56,0.24,0.62,0.44,0.56,0.03,-0.33,-0.06,0.09,0.53,-0.13,-0.66,0.65,-0.44
indonesia;0.50731,-0.87,0.24,1.39,0.02,-0.81,0.75,-0.15,0.59,0.50,0.71,-0.52,0.21,-0.03,0.68,0.64,0.06,0.36,0.10,0.85,0.06,0.29,7.1922e-03,-0.08,0.46,-1.17,0.59,-0.43,-1.08,0.20,2.67,0.30,0.14,0.37,-0.08,-0.19,-0.25,-0.96,-0.57,-0.35,-1.39,0.32,0.90,-1.18,0.23,1.03,-0.58,0.30,0.32,-1.21
baseball;-1.9327,1.04,-0.78,0.91,0.22,-0.62,-1.64,0.07,-0.58,0.05,0.35,0.68,-0.50,0.70,1.26,-0.40,-0.02,0.80,-0.90,-0.07,-0.87,-0.62,-0.12,0.11,-0.55,-1.68,-0.26,0.22,0.71,-1.08,2.12,0.49,0.06,-0.48,-0.17,0.47,0.16,0.16,-0.11,-0.15,-0.94,-0.42,-0.59,1.35,-0.27,0.19,-0.36,0.55,-0.70,0.17
supporters;0.184,-0.21,0.93,-0.44,-0.04,-0.38,-0.52,0.55,-1.28,0.39,-0.79,-1.40,-6.4621e-03,-0.75,-0.13,-0.27,0.35,-0.31,-0.04,-0.97,-0.33,0.47,0.04,0.07,-0.39,-1.93,0.38,-0.09,-0.75,-0.05,2.24,0.88,-1.28,-0.93,-0.70,-0.45,0.05,-0.62,-0.79,-0.21,0.17,0.65,-1.16,0.40,0.60,-0.19,-1.86,-0.39,-0.06,-1.16
blood;0.88984,0.35,0.06,-0.87,0.29,1.30,0.65,0.01,1.66,0.73,0.94,0.17,0.25,-0.06,0.35,0.32,-0.26,-0.51,-0.45,-0.61,0.01,0.08,1.48,-0.20,-0.30,-1.42,-0.60,0.54,0.31,-0.06,2.65,0.65,-0.14,-0.60,-0.41,0.45,0.38,0.15,1.35,0.03,0.40,0.18,-0.30,0.45,0.94,-0.40,0.06,-1.00,0.25,-0.87
valley;0.48326,1.02,0.06,-0.07,-1.18,-0.90,-1.85,0.01,0.35,-0.29,-0.37,-0.64,0.35,-1.14,-1.13,0.46,0.99,0.44,-0.40,0.26,-0.46,-0.47,0.26,1.02,-0.34,-0.99,-0.76,0.83,-0.51,-0.70,2.65,-0.74,-0.22,-0.14,0.65,-0.55,-1.46,-0.41,1.20,0.39,-0.71,0.06,-0.70,-0.20,-0.57,-0.35,0.52,-0.85,-0.18,-0.65
product;0.15882,-0.27,0.25,0.76,0.30,0.71,-0.59,-1.62,0.81,0.89,0.85,0.04,-0.18,-0.55,0.69,0.43,-0.33,0.38,0.40,-1.03,0.60,-0.99,-0.06,-0.01,-0.38,-0.58,-0.62,0.21,0.66,0.19,3.24,-0.05,0.09,-0.35,-0.05,-0.21,-0.22,0.80,0.07,-0.49,0.31,-0.30,-0.14,-0.04,0.02,0.21,0.20,0.76,0.38,0.70
conservative;-0.78021,-0.07,0.09,-0.99,0.28,0.85,-0.75,-0.58,-1.41,-0.26,-0.80,-0.71,-6.8844e-03,0.54,-1.20,-0.02,0.45,-0.79,0.34,0.15,-0.64,-0.13,0.07,0.63,-0.18,-2.10,-0.20,-0.06,-1.00,1.23,2.40,-0.11,-0.29,-0.68,-1.08,-1.20,-0.64,0.41,-0.60,-0.44,0.15,0.50,-0.86,0.68,-0.15,0.62,-1.61,-0.11,0.57,0.34
protection;0.21079,-0.01,-0.20,0.32,0.03,0.14,0.10,-0.50,1.42,-0.68,0.54,0.49,0.63,-0.30,-0.07,0.04,0.06,-0.38,0.53,-0.42,-0.30,-0.32,-1.02,-1.16,-0.57,-1.51,-0.05,-0.53,0.30,-0.05,3.04,-0.09,-0.78,-0.94,-0.64,0.47,0.34,-0.86,0.26,-0.26,-0.16,-0.17,1.16,0.28,-0.21,-0.41,-0.72,0.29,0.23,0.07
foundation;0.36051,1.46,-0.29,0.17,0.13,0.39,-0.83,-1.10,1.16,-0.01,0.12,0.41,-0.23,-0.37,-0.44,-0.22,0.55,0.32,0.56,0.71,0.30,0.43,-0.69,-1.29,-0.14,-1.06,-0.58,-0.86,-1.53,-0.57,2.33,-0.09,-0.42,-0.52,-1.32,-0.14,0.01,0.46,1.19,-0.29,0.15,-0.89,-0.21,-0.05,0.05,0.03,-0.89,-0.51,-0.80,0.05
el;0.30371,1.47,-0.26,0.96,-0.32,-2.31,-0.22,0.23,0.29,1.53,0.44,-0.74,-0.41,-0.44,0.40,-0.68,0.10,-0.17,0.22,1.37,-1.58,0.07,0.61,0.07,-1.28,-0.65,-0.78,0.67,0.49,-0.17,2.34,-1.17,-0.88,0.48,0.01,-0.31,0.43,-0.01,0.57,1.31,-0.05,0.37,0.17,-1.52,0.34,-1.11,-1.15,-0.38,0.64,0.51
search; 1.4921,-0.23,0.67,0.41,0.31,-0.61,-1.22,0.09,1.19,-0.37,-0.20,0.08,-0.18,0.37,0.08,-0.24,-0.32,-0.41,-0.08,-0.52,0.44,0.64,-0.14,0.37,0.34,-1.05,-0.36,-0.51,0.56,-0.11,2.73,-0.57,-0.89,-0.86,0.25,0.56,-0.56,-0.29,-0.15,-0.41,0.44,-0.25,0.34,0.31,0.30,-0.62,0.71,0.16,0.29,-0.31
olympics;-0.95624,1.46,-0.18,0.94,-0.64,-0.22,-0.36,0.06,0.05,-0.31,0.55,-0.87,-0.90,0.18,2.04,0.02,0.59,0.73,-1.65,-0.51,0.27,-0.12,-4.5526e-04,-0.04,0.63,-1.56,-0.24,-0.25,-0.24,-4.9081e-03,1.58,1.49,-0.92,-0.78,-0.75,-0.06,0.69,1.41,-1.18,-0.52,-0.61,-0.75,0.60,-0.21,0.23,-0.12,-0.26,-0.22,0.10,-0.36
newspapers;-0.51596,0.10,0.38,0.01,-0.48,-0.64,-1.57,-0.40,-0.28,-0.32,-0.76,-0.34,0.23,8.3556e-03,0.58,-0.53,-1.06,-0.36,0.21,0.06,1.18,0.58,0.84,0.85,-0.09,-1.51,-1.00,0.12,-0.35,0.19,2.42,-0.17,0.58,-0.37,-1.22,-0.22,-0.34,-0.43,-0.74,0.27,1.20,0.51,0.18,0.43,0.09,0.47,-1.56,0.90,0.18,-0.57
consumer;-1.1061,-0.88,0.81,-0.01,0.10,0.07,-0.95,-1.43,0.79,0.45,0.61,-0.23,0.04,-0.05,0.30,0.58,-0.86,-0.54,0.63,-1.16,1.35,-0.37,-0.58,-0.06,-0.22,-1.05,-0.67,-0.16,0.38,0.95,2.97,0.67,1.00,-0.80,-0.72,-0.80,-0.81,-0.25,0.54,-0.89,-0.21,0.06,0.21,-0.04,0.68,0.25,-0.11,0.73,0.82,0.78
beach;0.19833,0.76,-0.88,0.97,-1.17,-1.02,-1.50,-0.01,0.76,-0.75,-1.07,-0.53,0.68,-0.12,0.19,0.10,0.17,0.11,-0.91,-0.53,-0.15,1.11,-0.43,0.64,-0.05,-0.86,-0.21,0.63,0.13,-0.65,2.00,-0.57,-0.43,-0.08,0.19,0.06,0.06,-0.31,0.61,-0.46,-0.22,0.41,0.66,0.57,-0.27,0.31,-0.13,-2.09,0.44,0.36
communist;-0.41179,-0.27,0.45,-0.49,-0.04,-0.36,0.45,-0.07,-1.52,-0.39,0.28,-0.57,-0.19,1.04,-0.20,-0.68,-0.52,0.57,0.74,1.20,-0.41,-0.79,-0.05,-0.25,0.25,-2.32,-0.18,-0.69,-0.44,1.13,2.57,-0.50,-1.25,-0.09,-1.79,0.10,-0.70,0.29,-0.98,0.26,-0.79,-0.32,4.5063e-03,-0.20,0.51,-0.11,-1.19,-0.31,-0.15,-1.29
navy;0.025906,-0.20,-0.29,-0.21,0.21,-0.41,-1.02,0.41,-3.1932e-03,-2.22,0.68,1.17,0.39,0.38,-0.84,-0.99,-1.11,0.80,-1.56,-0.17,-0.15,0.35,-0.09,-1.24,-0.33,-2.08,0.23,-0.29,0.47,0.24,1.98,-0.69,-0.75,-0.11,0.95,0.73,0.14,-0.25,-0.78,-0.25,0.21,-0.28,1.59,-0.83,0.07,-0.56,-0.30,0.21,-0.49,0.35
quality;-0.67847,0.26,-0.41,0.09,0.13,-0.24,-0.21,-0.67,1.23,0.82,0.63,0.37,0.38,-0.31,-0.07,0.04,0.01,0.39,0.66,-1.33,0.11,0.20,0.12,-0.47,0.12,-0.70,-0.97,0.28,0.53,0.09,3.55,0.39,0.60,-0.92,0.64,0.60,5.1373e-03,0.90,-0.07,-0.56,0.01,-0.08,0.43,0.20,-0.11,0.17,2.5656e-03,0.82,0.25,0.41
spring;-0.037475,1.02,-0.63,-0.24,-0.64,-0.43,-1.35,0.09,-0.23,-0.47,-0.37,-0.32,0.30,-0.05,0.80,0.42,-0.40,-0.06,-0.94,-0.21,0.25,-0.84,0.72,-0.40,-0.22,-0.72,-0.08,0.64,0.77,0.22,2.80,0.14,-0.57,-0.16,0.14,-0.01,-4.4743e-03,0.51,0.22,-0.02,-1.11,-0.40,-0.83,-0.18,0.34,0.06,0.43,-0.72,-0.69,0.35
missing;0.68465,0.32,0.94,0.08,0.69,0.24,-1.10,1.00,0.48,-0.69,0.10,-0.33,-0.22,0.46,1.36,-0.59,-0.37,-0.30,-0.73,0.04,-0.97,0.92,0.48,-0.08,0.68,-1.27,-0.43,-0.02,0.14,-0.45,2.52,-0.09,0.25,0.11,0.69,0.97,0.47,-0.24,0.37,-0.38,-0.32,0.09,1.05,-0.13,0.18,-0.08,-0.05,0.41,0.15,-1.11
criminal;0.23229,-0.71,-0.51,0.28,0.59,0.54,1.23,0.17,0.07,-0.08,-0.53,0.16,-1.04,-0.10,0.85,-1.03,0.05,-0.17,0.18,0.04,0.54,0.30,-6.5936e-03,0.40,-1.49,-2.45,-0.13,-0.73,0.22,-0.25,2.19,-1.01,-0.50,-1.94,0.14,0.40,-0.17,-0.90,-0.15,-0.05,-0.60,0.35,1.17,0.82,-0.09,-0.78,-0.39,0.36,0.52,0.04
software;0.40093,-1.16,1.25,1.32,-0.60,-0.36,-1.26,-1.78,0.67,1.17,0.72,0.74,-0.32,-0.31,-0.02,0.07,-0.84,0.70,0.88,-0.67,0.54,-0.11,-0.90,0.42,0.21,-0.57,-0.40,-1.13,0.06,-0.44,3.30,-1.07,-0.37,-0.48,-0.11,0.27,-0.51,0.22,0.34,-0.67,1.27,-0.37,-0.17,0.94,-0.12,0.40,0.93,0.57,0.30,0.30
democracy;-0.82416,0.08,0.21,-0.05,0.29,-0.82,0.87,-0.77,-0.24,0.86,0.03,-0.94,-0.48,0.30,-0.30,-0.09,0.50,-0.22,1.33,0.41,-0.54,0.87,-0.40,-0.63,0.68,-1.31,-0.08,-0.87,-0.02,1.17,3.08,0.10,-1.91,-0.86,-1.85,-0.46,-0.41,-0.11,-0.72,-0.24,-0.72,-0.55,-0.24,-0.11,-0.05,0.58,-1.08,-0.78,0.13,-0.90
francisco;0.29172,0.41,-0.34,0.96,-0.27,-1.16,-1.98,-0.07,-0.53,0.57,-0.10,0.08,0.15,0.45,0.26,-1.49,-0.91,-0.46,-0.60,0.08,-0.47,-0.14,-0.59,0.03,-0.60,-0.98,0.54,-0.38,-0.07,-0.80,2.09,-0.34,-0.50,-1.10,-0.64,-0.48,-0.43,0.47,1.27,0.40,-0.37,0.35,0.20,-6.7626e-03,-0.44,0.20,-0.56,-1.21,0.35,0.99
section;-0.48746,0.69,-0.56,0.03,0.07,0.12,0.01,-0.66,0.12,-0.74,-0.68,-0.78,0.13,0.08,-0.75,-0.42,-0.44,-0.04,-0.49,0.20,0.80,-0.15,-0.43,0.67,-0.15,-0.92,0.05,0.51,-0.05,-0.69,3.13,-1.08,0.59,-0.21,0.28,-0.21,0.68,-0.09,0.01,0.50,-9.8428e-03,-0.62,0.95,0.33,-0.81,0.26,0.50,-0.50,0.61,-0.10
suicide; 1.1757,-0.32,0.60,-0.78,0.63,1.19,7.6198e-03,8.917e-04,0.34,0.13,-0.50,-1.14,-0.91,0.33,0.14,-0.18,-0.61,-0.18,-1.03,0.97,0.36,1.06,0.08,0.45,-0.10,-2.01,-0.30,-0.37,0.83,0.05,1.79,0.17,-0.66,-0.54,0.90,0.30,0.86,-0.98,-0.50,0.92,-0.92,0.11,0.26,-0.40,1.65,-0.30,-0.28,0.09,0.89,-0.07
resolution;0.28245,-0.22,0.01,-0.67,0.16,0.32,1.38,-0.72,-0.16,-0.28,-0.73,-0.44,0.19,-0.31,-0.06,0.53,-0.40,-0.90,0.45,-0.28,0.68,0.23,0.51,-1.04,0.33,-1.17,0.74,0.19,0.11,0.28,2.47,-0.49,-2.30,-0.73,-0.14,-1.27,1.13,-0.38,-1.61,-0.19,0.26,-0.44,0.65,-1.00,-1.06,1.30,0.09,1.27,-0.86,0.45
georgia;-1.3427,0.45,0.19,0.71,-0.59,0.06,-0.87,0.79,-0.28,-1.02,-0.30,-1.12,0.41,-0.78,-0.30,0.34,-0.03,0.23,0.10,0.53,-0.45,-5.0708e-03,-0.30,-0.11,-0.13,-2.06,0.22,-0.05,0.33,-0.53,1.93,-0.18,-0.80,-0.85,0.18,-0.05,-0.73,-0.04,0.16,0.11,-0.33,0.24,0.42,-1.13,-0.37,1.01,-0.24,0.47,-0.95,0.11
s;-0.15234,0.98,1.00,0.97,0.66,0.11,0.65,-0.47,0.14,0.08,-0.01,-0.02,-0.67,-0.04,0.16,-0.04,-0.47,0.01,-0.63,0.22,-0.05,0.03,-0.21,0.03,-0.07,-1.22,-0.17,-0.09,-0.07,0.40,2.53,0.05,-0.17,0.85,0.07,-0.84,0.14,-1.10,-0.07,-0.76,0.36,-0.05,0.31,-0.67,-0.12,0.46,0.30,0.03,0.71,0.32
catholic;0.44891,0.74,-1.27,-1.95,1.15,0.52,-0.73,-0.42,-0.88,-0.22,0.08,-0.66,0.21,-0.83,-0.34,-0.69,-0.71,-0.57,0.31,0.95,-0.96,0.30,-1.19,1.19,-0.67,-1.62,0.26,-0.80,-1.29,0.13,2.36,0.41,-0.23,-1.10,-0.77,-0.68,-0.01,-0.91,0.01,0.88,0.02,0.06,-0.44,0.60,-0.21,0.85,-1.13,-0.36,-0.22,-0.75
opportunity;0.31712,0.41,-0.09,-0.01,0.97,-0.55,-0.44,0.57,0.35,0.42,-0.23,0.41,-0.30,-0.26,0.18,0.26,1.11,-0.41,0.15,-0.63,0.29,0.28,-0.53,-0.17,0.74,-1.45,-0.32,-0.76,0.40,-0.56,2.88,1.26,-0.85,-0.90,-0.18,-0.11,-0.42,0.46,-0.36,-0.87,-0.23,-0.46,-0.15,0.21,-0.33,0.11,0.10,0.43,0.06,0.16
resources;0.12198,-0.15,0.55,0.86,0.40,-0.58,-0.08,-0.58,1.21,-0.05,0.24,0.78,0.65,-0.86,-0.76,0.23,1.48,0.51,0.38,-0.44,0.71,0.05,0.50,-1.13,0.16,-0.62,0.18,-0.88,0.26,0.69,3.31,0.22,0.04,-1.23,-0.33,0.54,-1.43,0.39,0.78,-0.04,-0.05,-0.20,0.56,0.16,-0.49,0.12,-0.77,0.65,0.32,0.10
awards;-1.2881,1.37,-0.46,0.47,0.29,-0.08,-0.48,-0.42,1.08,0.75,0.08,0.13,0.47,0.95,0.44,-1.20,0.20,0.08,-1.08,-0.64,1.22,-0.03,0.20,-0.43,-0.47,-0.77,-2.21,-0.97,-1.91,-0.75,2.18,1.23,-0.08,-0.61,-0.12,0.24,0.50,-0.02,-0.44,-1.18,-0.06,0.56,-0.72,-0.91,-1.39,-0.33,-0.29,-0.12,-0.30,0.13
alliance;0.54169,-0.07,0.01,0.68,0.17,0.31,-0.12,-0.23,-0.36,-0.61,0.52,-0.60,-0.81,0.74,-1.36,0.37,0.07,-0.10,0.34,0.12,-0.34,0.16,-0.43,-0.01,-1.02,-1.17,-0.44,-0.70,-0.49,0.84,2.65,0.94,-1.27,0.08,-0.88,-0.87,-0.64,-0.27,-0.65,-0.21,-0.04,-0.32,-0.43,-0.37,-0.04,0.43,-1.11,0.21,-0.70,-0.02
planning; 1.0782,-0.07,-0.10,0.18,0.04,-0.54,-0.43,-0.57,0.14,-0.28,-0.31,-0.04,-0.40,-0.02,0.12,0.04,0.30,0.27,0.33,0.18,1.17,0.10,-0.60,-0.14,-0.15,-1.24,0.08,-0.88,-0.07,0.23,2.88,0.28,-1.29,-1.12,0.04,0.38,0.08,0.22,-0.10,0.55,-0.73,-0.15,0.10,-0.18,0.29,-0.57,-0.28,0.74,0.65,0.92
environment;0.24989,0.21,-0.44,0.58,-0.01,-0.39,-0.12,-1.13,0.43,-0.05,0.72,0.37,0.51,0.55,-0.01,0.87,1.15,0.30,0.62,-0.42,-0.02,0.58,-0.36,-0.20,0.87,-0.33,0.35,0.08,0.18,1.36,3.33,-0.06,-0.10,-1.88,-0.93,0.31,-0.39,0.45,0.31,-0.07,-0.55,-0.09,0.86,-0.02,0.24,0.30,-0.44,-0.03,1.14,0.77
headquarters; 1.0562,-0.34,0.32,0.41,0.42,-1.85,-0.59,0.22,0.07,-1.90,-0.34,-1.17,-0.81,-0.21,-0.89,0.34,-0.55,0.84,-0.41,0.20,0.74,0.17,-0.72,0.04,-1.51,-1.52,-0.21,0.51,-0.82,-0.34,2.36,-0.25,-0.67,-0.81,-0.31,-0.07,0.28,-0.39,0.20,0.49,0.25,-0.35,-0.14,-0.61,-0.02,0.40,-0.67,9.7441e-04,-0.40,0.10
citizens;-0.15656,-0.03,0.21,-0.63,0.80,-0.20,-0.17,0.55,-0.04,-0.45,0.35,-0.55,1.35,-0.21,0.38,-0.25,0.13,-0.16,0.58,-0.07,0.27,0.45,-0.28,0.67,-0.07,-1.84,-0.04,-1.15,0.22,0.02,2.62,0.82,-0.61,-1.11,-0.48,-0.22,-0.19,-0.93,-0.43,0.08,-0.32,-0.11,1.60,0.20,-0.23,-0.07,-1.63,0.22,0.09,-0.18
seats;-0.087055,-0.08,1.69,-0.42,0.63,0.42,0.12,-0.22,-0.62,-0.88,-0.85,-1.46,0.07,1.07,-0.43,0.12,0.18,0.39,-0.13,-1.80,0.01,-0.29,0.35,0.33,-0.95,-0.33,-0.33,0.18,-0.77,0.63,2.96,1.39,-0.50,0.71,0.69,-0.06,1.17,0.48,-0.24,-0.32,-0.46,0.29,-0.35,1.12,-2.23,1.08,-1.83,-0.63,0.30,-0.67
x;0.52669,1.60,1.82,0.95,0.57,0.38,0.76,-1.65,0.23,-0.31,0.01,0.15,-0.67,0.18,0.54,-0.15,-0.93,-0.04,-1.01,-0.16,-1.10,-0.04,1.09,0.14,-0.37,9.0402e-03,-0.80,-0.49,0.30,-0.08,2.28,-0.15,-0.68,-0.08,0.38,-0.34,1.10,-0.39,-0.09,0.11,0.53,-0.29,0.73,0.22,-0.60,1.12,0.52,-0.83,0.04,0.61
